book_id,title,author,category,quantity
68,Assimilated 5thgeneration info-mediaries,Nancy Harmon,Travel,20
69,Profound encompassing workforce,Brad Vega,Art,8
70,Team-oriented bi-directional paradigm,Victoria Wade,Poetry,17
71,Up-sized empowering infrastructure,Eric Evans,Romance,12
72,Self-enabling static success,Denise James,Poetry,5
73,Compatible asynchronous encoding,David Peterson,Math,2
74,Universal next generation utilization,Suzanne Roberts,Art,4
75,Devolved heuristic migration,Brian Horton,Non-Fiction,2
76,Universal bifurcated policy,Ashley Armstrong,Science,2
77,Optional 24hour throughput,Lisa Fischer,Drama,5
78,Decentralized even-keeled support,Elizabeth Jones,Religion,5
79,Switchable composite product,Todd Gardner,Science,20
80,Cross-platform tangible conglomeration,James Santiago,Poetry,13
81,Optimized disintermediate workforce,Jasmine Cervantes DDS,Graphic Novels,17
82,Self-enabling coherent software,Caleb Brooks,Biography,3
83,Monitored solution-oriented data-warehouse,Jason Smith,Art,7
84,Operative scalable project,William Miller,Biography,3
85,Customer-focused intangible alliance,Debra Rice,Mystery,6
86,Inverse directional productivity,Austin Hogan,Drama,20
87,Digitized cohesive moderator,Sarah Castro,Science Fiction,2
88,Virtual grid-enabled challenge,Melissa Marks,Philosophy,13
89,Cross-group content-based portal,Kelli Smith,Mystery,19
90,Customizable systematic software,Matthew Owens,Art,16
91,Enterprise-wide system-worthy structure,Amanda Morgan,Historical Fiction,15
92,Object-based optimal parallelism,Eric Cole,Fiction,1
93,Switchable mobile secured line,Gina Rosales,Historical Fiction,14
94,Customizable actuating synergy,Megan Walsh,Thriller,3
95,Inverse actuating open architecture,Cheryl Branch,Young Adult,12
96,User-centric optimizing customer loyalty,Alejandro Hanson,Science,14
97,Business-focused non-volatile model,Ashley Wells,Economics,12
98,Quality-focused regional flexibility,Steven Sweeney,Children's,3
99,Cloned eco-centric secured line,Cindy Hart,Historical Fiction,6
100,Cloned solution-oriented paradigm,Thomas Franklin,Historical Fiction,8
